status	val_loss	completed_steps	batch_size	n_layer	n_embd	n_head	aurora_phases	aurora_blocks	lr_scale	adam_lr_scale	warmup_steps	start_ratio	amuse_beta1	amuse_rho	log_path
success	5.346710	2755	8	4	1024	16	8	120	1.040728	0.671306	5	0.200000	0.200000	0.800000	target/sweeps/synth_900_multi_20260619T080010Z/trial_0000/train.log
success	4.805441	2750	8	4	1024	16	8	120	1.844459	0.925681	5	0.000000	0.400000	0.500000	target/sweeps/synth_900_multi_20260619T080010Z/trial_0001/train.log
success	4.895197	2881	8	4	1024	16	8	160	2.116410	0.503505	5	0.000000	0.400000	0.500000	target/sweeps/synth_900_multi_20260619T080010Z/trial_0002/train.log
success	5.512575	2764	8	4	1024	16	8	120	0.927102	2.246357	5	0.000000	0.400000	0.800000	target/sweeps/synth_900_multi_20260619T132443Z/trial_0001/train.log
success	5.132470	4687	8	2	1024	16	4	120	1.359202	0.511092	5	0.000000	0.600000	0.800000	target/sweeps/synth_900_multi_20260619T132443Z/trial_0002/train.log
success	4.732287	4691	8	2	1024	16	4	120	1.575554	1.271614	20	0.200000	0.200000	1.000000	target/sweeps/synth_900_multi_20260619T140614Z/trial_0000/train.log
success	4.623164	5429	8	2	1024	16	2	90	1.575554	1.271614	20	0.200000	0.200000	1.000000	target/mseden_fwht_b8_l2d1024_900s_20260619T145904Z.log
success	4.747964	5655	8	2	1024	16	2	90	1.575554	1.271614	20	0.200000	0.200000	1.000000	target/lm_head_cta_b8_l2d1024_900s_20260619T153928Z.log
success	4.224687	5577	8	2	1024	16	2	80	1.014040	1.980467	5	0.050000	0.200000	0.500000	target/rope_preapply_b8_l2d1024_900s_20260619T203854Z.log
success	4.143612	5580	8	2	1024	16	2	80	1.014040	1.980467	5	0.050000	0.200000	0.500000	target/resid_proj_scaled_init_b8_l2d1024_900s_20260619T215342Z.log
success	4.129953	5683	8	2	1024	16	2	80	1.014040	1.980467	5	0.050000	0.200000	0.500000	target/f16_staged_attention_bwd_b8_l2d1024_900s_20260619T222024Z.log
